				
Odoo	Ref	Value	Name	Qnty
2092	BT1, 	CR2450	CR2450-1GVF, Coin Battery with soldering PIN [DIP]	1
1705	C1, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C117, C118, C119, C120, C121, C122, C123, C124, C127, C128, C129, C130, C131, C132, C133, C134, C147, C148, C149, C150, C151, C173, C174, C175, C176, C193, C194, C195, C196, C2, C21, C218, C219, C22, C228, C229, C23, C24, C3, C35, C37, C38, C4, C40, C5, C6, C7, C86, C87, C88, C89, C90, C91, C92, C99, 	100nF	Chip ceramic capacitor 0402 0.1 UF 50V 10% X7R, CC0402KRX7R9BB104	69
2689	C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C8, C9, 	2.2uF	Chip ceramic capacitor 0402 2.2 UF 10% 25V X5R, C1005X5R1E225K050BC	13
1817	C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C41, C42, C43, C54, C55, 	100nF 100V	CAP_100nF_100V_CERAMIC_SMD_0603_copy	15
~	C44, C45, C46, C47, 	100u 63V	Aluminum capacitor radial 100 uF 20% 63V 10X12, P/N: HR100M63W1012 [DIP]	4
3180	C48, 	330uF	Aluminum capacitors RVZ series 330 uF 35V 10X10.5mm, RVZ-35V331MHA5U-R2 [SMD]	1
1819	C49, C50, C51, C61, C62, C70, C73, C74, C81, 	100nF	Chip ceramic capacitor 0603 0.1 uF 10% 50V X7R (104)- GRM188R71H104KA93( To replace 16V, 25V) [SMD]	9
2671	C52, C53, C59, C60, C65, C67, C69, 	22u 25V	C_22uF_25V_SMD_0805	7
1717	C56, 	1uF	C_1uF_25V_SMD_0603	1
1829	C57, C58, 	100pF	Chip ceramic capacitor 0603 100 pF 5% 50V C0G (101)- GRM1885C1H101JA01D [SMD]	2
1813	C63, 	22pF	C_22pF_50V_SMD_0603	1
3354	C64, C72, 	100uF	Aluminum capacitors RVZ series 100uF 35V, 8X10mm, RVZ-35V101MGA5U-R2 [SMD]	2
1865	C75, C76, C77, C78, 	22uF 16V	Chip ceramic capacitor 1206 22 uF 10% 16V X7R (226) (Replace 6.3V value) [SMD]	4
1844	C79, 	470pF	Chip ceramic capacitor 0603 470 pF 10% 50V X7R- GRM188R71H471KA01D [SMD]	1
