Odoo,Ref,Value,Name,Qnty
1819,"",0.0,"Chip ceramic capacitor 0603 0.1 uF 10% 50V X7R (104)- GRM188R71H104KA93( To replace 16V, 25V) [SMD]",3
3694,C2,,"Aluminum capacitor radial 100 uF 20% 35V 6X11 -40~105 ℃, P/N: ESH107M035AE3[DIP]",1


1705,"C3, C4, C5, C7, C9, C10, C23, C30, C32, C36, C37",,"Chip ceramic capacitor 0402 0.1 UF 50V 10% X7R, CC0402KRX7R9BB104 [SMD]",11
3535,C6,,"Chip ceramic capacitor 0402 0.01 UF 50V 10% X7R, CC0402KRX7R9BB103 [SMD]",1
2689,C8,,"Chip ceramic capacitor 0402 2.2 UF 10% 25V X5R, C1005X5R1E225K050BC[SMD]",1
3677,"C11, C13",,Chip ceramic capacitor 0603 15 pF 5% 50V C0G [SMD],2
1711,C12,,"Chip ceramic capacitor 0402 4.7 UF 20% 10V X5R, C1005X5R1A475M050BC [SMD]",1
1800,"C15, C16",,"Capacitor ceramic 100 pF 20% 3 kV d=8.4 mm lead=7.5 mm, PN: 222274774109(CC 100PK 3KV  D=8.4 mm lead=7.5 mm EPOXY) [DIP]",2
1714,"C17, C19",,"Chip ceramic capacitor 0603 10 uf 25V 20% X5R, C1608X5R1E106M080AC [SMD]",2
1801,"C18, C21",,"Capacitor METALLIZED POLYPROPYLENE FILM CAPACITOR 0.1uF 10% 275VAC=630VDC P=10MM, MPX104K3IC04, ( Equ. HQX104K275I28SNY) [DIP]",2
1798,C20,,"CAP CER 2200PF 250VAC 20% RADIAL, CD12-E2GA222MYNS(A)(VY1222M47Y5UQ63V0) [DIP]",1
1786,"C22, C24, C27",,"Aluminum capacitor radial 330 uF 20% 50V 10X17 (10X20), P/N: HR330M50W1020 [DIP]",3
2726,"C25, C28",,"UCY2G150MPD1TD, CAP_15uF_400V_ELECTROLITE_DIP_10x20LS5p0.8(Equ. RLD150M2GBKF1020PP & CP400M1501017SC00) [DIP]",2
2886,C26,,Chip ceramic capacitor 1206 100 pF 5% 1KV NPO- CC1206JKNPOCBN101[SMD],1
2671,"C29, C31, C34, C35",,Chip ceramic capacitor 0805 22 uF 20% 25V X5R- C2012X5R1E226M125AC [SMD],4
